Model,Accuracy,ROC-AUC,Precision,Recall,F1-score
Baseline (DummyClassifier),0.59,0.5,0.0,0.0,0.0
Logistic Regression,0.8016666666666666,0.87564879886087,0.7953488372093023,0.6951219512195121,0.7418655097613883
